background,n. （画等的）背景；底色；背景资料；配乐
football helmet,橄榄球头盔
forklift,n. 铲车，叉式升降机；叉车
fountain,n. 人造喷泉，喷泉水；泉源；液体贮存器，汽水桶，冷饮柜；源头，来源
fountain pen,n. 钢笔
four-poster,n. 有四根帷柱的床
freight car,n. 运货车厢
French horn,n. 法国号
frying pan,n. 煎锅，长柄平锅
fur coat,皮大衣
garbage truck,n. 垃圾车
gasmask,No Translation found
gas pump,气体泵，气泵
goblet,n. 高脚酒杯
go-kart,n. 游戏用的无车体小型汽车，其商标名
golf ball,n. 高尔夫球
golfcart,No Translation found
gondola,n. 狭长小船；货架（一般指商店，例如化妆品店）；吊船工作台
gong,n. 锣；钟状物；〈俚〉奖章，纪念章；,v. 发出锣声；鸣锣阻止汽车前进
gown,n. 长袍，长外衣；女长服；罩袍；大学的学生和教师,vt.&vi. 穿长袍
grand piano,n. 三角钢琴，大钢琴
greenhouse,n. 温室，花房；[军]周围有玻璃的座舱，轰炸员舱
grille,n. 格子，格栅；（汽车散热器的）护栅
grocery store,小卖部
guillotine,n. 断头台；（切纸的）铡刀；切纸机；（英国议会中）截止辩论以付表决法,vt.& vi.在断头台上处死
hair slide,n. 小发夹
hair spray,n. 喷发定型剂；喷发剂
half track,半磁迹，半履带式的
hammer,n. 铁锤，榔头；链球；（拍卖时用的）木槌；音槌,vt.& vi.锤打；反复敲打，连续击打（尤指发出大声）；,vt. 击败；猛踢；猛击；轻易打败（对方）
hamper,vt. 妨碍，束缚，限制；使困累；,n. （有盖的）大篮子；阻碍物，足械；[航]船具
hand blower,手摇鼓风机
hand-held computer,掌上型电脑
handkerchief,n. 手帕；方巾，围巾
hard disc,n. 硬盘
harmonica,n. 口琴
harp,n. 竖琴；竖琴状的东西；[天]天琴座；爱尔兰人,vi. 弹竖琴；唠叨，喋喋不休；不停地说
harvester,n. 收割庄稼的人，收割机
hatchet,n. 短柄小斧；言归于好；,adj. 瘦削而棱角分明的
holster,n. （系在腰带等上的）手枪皮套
home theater,n. 家庭影院
honeycomb,n. 蜂窝，蜂巢；,vt. 使成蜂巢状；把…弄得千疮百孔；,adj. 似蜂巢的；,vi. 变成蜂巢状
hook,n. 钩，铁钩；弯曲部分，有钩部分；圈套，陷阱；〈俚〉锚,vt.&vi. 用钩挂；〈俚〉偷，扒；,vt. 钩，钩住；引上钩；牢牢抓住；,vi. 弯成钩状
hoopskirt,n. 有裙撑的裙子；长外裙
horizontal bar,单[双]杠，单杠；横棒
horse cart,No Translation found
hourglass,n. 沙漏
iPod,abbr. initialphaseofoceandrilling海上钻井平台
iron,n. 铁器，铁制品；熨斗，烙铁；坚强；脚镣,adj. 铁制的，含铁的；坚强的，顽强的；残酷的；坚忍不拔的,vt. 熨烫；给…上脚镣手铐；给…装铁具；用铁铸成,vi. 熨衣；（衣服等）被烫平
jack-o'-lantern,n. 鬼火，空心南瓜灯
jean,n. （耐用的）斜纹棉布；牛仔裤，斜纹棉布裤
jeep,n. 吉普车
jersey,n. 毛织运动衫，毛线衫；泽西岛；泽西种乳牛
jigsaw puzzle,n. 七巧板，智力拼图玩具；拼板玩具
jinrikisha,n. 人力车，黄包车
joystick,n. 操纵杆
kimono,n. （日本的）和服；和服式女晨衣
knee pad,n. 护膝
knot,n. 结，绳结，结节，（装饰用的）花结，蝴蝶结；[航]节(=浬/小时)，浬，海里；（树木或木材上的）节疤，（人或动物身上的）硬块，节，瘤；难事，难题，麻烦事，（问题的）要点，（戏剧，小说的）情节的征结,vt.& vi.把…打结，把…连结，捆扎，包扎；使密切结合；使纠结；皱（眉）
lab coat,实验工作服
ladle,n. 长柄勺；,vt. （用勺）舀或盛很多（食物）；慷慨地施予某物
lampshade,n. 灯罩
laptop,n. 便携式电脑
lawn mower,n. 割草机；剪草机
lens cap,镜头[透镜]盖
letter opener,n. 开信刀
library,n. 图书馆，藏书楼；藏书；书屋，书斋；图书出租处
lifeboat,n. 救生艇，救生船
lighter,n. 打火机；点火器；点火者；驳船,adj. 较轻的(light的比较级)；较淡的；,vt. 用驳船运
limousine,n. 豪华轿车；大型豪华轿车；接送旅客的交通车
liner,n. 班轮，班机；衬垫，衬套；衬里；画线者
lipstick,n. 口红；唇膏；,vt. 涂口红于；,vi. 涂口红
Loafer,n. 虚度光阴者；游手好闲者；无业游民；平底便鞋
lotion,n. 洗液，洗剂；护肤液，乳液
loudspeaker,n. 扩音器，扬声器；喇叭；扬场器
loupe,n. （珠宝匠、钟表匠等套在眼窝上的）小型放大镜
lumbermill,n. 锯木厂
magnetic compass,磁罗盘
mailbag,n. 邮袋
mailbox,n. 邮筒；信箱
maillot,n. 女游泳衣，（体操运动员穿的）紧身衣；女浴衣
manhole cover,人孔盖，探井盖，升降口盖
maraca,n. 沙球（一种打击乐器），女人的奶子
marimba,n. 马林巴琴（即木琴）；（马林巴琴类的）管弦乐器
mask,n. 面具；假面具；用作掩饰的事物；护肤膜,vt. 掩饰；戴面具；用面具遮住，掩盖，掩饰；,vi. 戴面具；隐瞒，掩饰
matchstick,n. 火柴杆，火柴杆似的东西
maypole,n. 五月柱（庆祝五朔节）
maze,n. 迷宫；迷惑；错综复杂；迷宫图,vt. 使困惑；使混乱；迷失
measuring cup,n. 量杯
medicine chest,药箱，药柜
megalith,n. （尤指史前作石碑用的）巨石
microphone,n. 扩音器，麦克风；话筒
microwave,n. 微波；微波炉；,vt. 用微波炉加热（或烹饪）
military uniform,军装；军服
milk can,奶桶
minibus,n. 小型公共汽车，小巴
miniskirt,n. 迷你短裙，超短裙
minivan,n. 小型货车
missile,n. 导弹；投射物；,adj. 导弹的；可投掷的；用以发射导弹的
mitten,n. 连指手套；露指手套
mixing bowl,n. 搅拌碗；搅拌钵
mobile home,n. （由汽车拖拉的）活动房屋
Model T,T型发动机小汽车；过时(或大量生产)的东西；老式的人；背时的人；,adj. 早期的，初创的；老式的；过时的
modem,n. 调制解调器
monastery,n. 修道院，寺院；[复数]全体僧侣
monitor,n. 显示屏，屏幕；[计]显示器；监测仪；监控人员，班长,vt. 监控，监听；搜集，记录；测定；监督,vi. 监视
moped,n. 摩托自行车；,v. 忧郁地闲荡(mope的过去式和过去分词)
mortar,n. 迫击炮；砂浆；房产；研钵,vt.& vi.用迫击炮攻击（或袭击）；用灰泥涂抹[结合]
mortarboard,n. 灰泥板，学位帽
mosque,n. 清真寺，伊斯兰教寺院
mosquito net,n. 蚊帐
motor scooter,n. 小型摩托车
mountain bike,n. 山地车，山地自行车
mountain tent,No Translation found
mouse,n. 老鼠；鼠标；羞怯[胆小]的人；[非正式用语]眼部青肿,vi. 捕鼠；窥探，偷偷地寻找
mousetrap,n. 捕鼠器
moving van,搬家卡车
muzzle,n. 枪口，炮口；（防止动物咬人的）口套；（四足动物的）鼻口部；（狗）等凸出的鼻子和口,vt. 给（狗等）戴口套；使缄默，钳制…言论；封锁…的言论；〈美俚〉亲嘴
nail,n. 钉子；指甲，趾甲；钉状物；纳尔,vt. 钉住；抓住；使固定；揭露
neck brace,[医]颈支具
necklace,n. 项链
nipple,n. 乳头；（奶品的）橡皮奶头；（枪炮的）火门；[机]喷灯喷嘴，螺纹接套
notebook,n. 笔记簿；笔记本电脑；手册；笔记本
obelisk,n. 方尖石塔，短剑号，疑问记号
oboe,n. 欧巴，双簧管
ocarina,n. 陶制的卵形笛
odometer,n. 里程计
oil filter,（汽车等）机油滤清器
organ,n. 机构；器官；风琴；元件
oscilloscope,n. 示波镜
overskirt,n. 罩裙；套裙；短罩裙
oxcart,n. 牛车
oxygen mask,n. （供人吸氧时用的）氧气面罩
packet,n. 小包；信息包；邮船；大笔款项,vt. 包装，打包；用邮船运送
paddle,n. [航海]宽叶短桨；桨状物；搅拌金矿的铁器，类似铁铲的工具；洗衣板，扁板,vi. 涉水；趟水；用桨划船；荡桨,vt. 用浆划动，用船桨推动（船只）；搬运，运输；拍打；搅拌
paddlewheel,No Translation found
padlock,n. 挂锁，扣锁；,vt. （用挂锁）锁上
paintbrush,n. 漆刷，画刷，画笔
pajama,n. 睡衣，宽长裤
palace,n. 宫，宫殿；（主教）邸宅，宏伟大厦；华丽的娱乐场所
panpipe,排箫
paper towel,厨房纸巾
parachute,n. 降落伞；降落伞状物；[植]风散种子；,vt.& vi.用降落伞投送；用降落伞降落；,vi. 跳伞
parallel bars,双杠
park bench,No Translation found
parking meter,n. 停车计时器（以硬币付费）
passenger car,n. 客车；小客车
patio,n. 院子，天井；露台，平台
pay-phone,No Translation found
pedestal,n. 底座，基座；根底，基础；[机]托轴架；受人尊敬的地位,v. 搁在架上；支持；给…加台脚
pencil box,铅笔盒
pencil sharpener,铅笔刀，转笔刀；卷笔刀
perfume,n. 香水；香料；香味，香气；,vt. 使…充满香气；喷香水于…
Petri dish,陪替氏培养皿
photocopier,n. 影印机，复印机
pick,vt.& vi.挑选，挑拣；挖，采，摘，剔，扒；挑剔；,n. 选择；收获；精华
pickelhaube,n. 尖顶头盔
picket fence,n. 尖桩篱栅
pickup,n. 收集；搭车（者）；唱机唱头；小卡车,adj. 临时凑成的，偶然认识的
pier,n. 码头，防波堤；桥墩；窗间壁
piggy bank,n. 扑满
pill bottle,No Translation found
pillow,n. 枕头；垫子；花边垫子；,vt. 搁于枕上；当作枕头用；,vi. 以…为枕
ping-pong ball,乒乓球
pinwheel,n. 轮转焰火，纸风车；针轮；靶中心
pirate,n. 海盗，强盗；海盗船；侵害版权者；盗版者,vt. 抢劫（海上船只）；剽窃，盗用；,vi. 当海盗；从事劫掠行为
pitcher,n. 大水罐；投掷的人
plane,n. 水平；平面；飞机；木工刨,adj. 平的，平坦的；,vt. 用刨刨平；小船等擦着水面疾驶；,vi. 鸟滑翔
planetarium,n. 天文馆；天象仪
plastic bag,塑料袋
plate rack,n. 餐具架
plow,n. 犁；犁型铲雪机；,v. 耕；犁耕；费力穿过
plunger,n. 手压皮碗泵；撞针杆；活塞；柱跳水者，潜水者
Polaroid camera,[计]即显胶片照相机
pole,n. [物]极点，顶点；地极；杆；两极端,vt.& vi.用篙撑船，摆船；,vt. [航海]用一根杆来推动；以杆推进；以杆支撑（植物）；用杆子击打、戳、或搅拌,vi. 用滑雪杖加速
police van,No Translation found
poncho,n. 斗篷
pool table,n. 有六个落袋的撞球台
pop bottle,柠檬水瓶，充气饮料瓶
pot,n. 罐；一罐；（某种用途的）容器；陶盆,vt. 把…栽入盆中；种盆栽；台球、普尔和斯诺克击（球）入袋；射杀,vi. 随手射击
potter's wheel,n. 陶工旋盘；钧
power drill,机械钻
prayer rug,祈祷毯（回教徒祈祷时用的跪毯）；拜毯
printer,n. 打印机；印刷机；印刷商，印刷厂；印刷业从业人员，印花工
prison,n. 监狱；牢笼；监禁；入狱
projectile,n. 抛射体；（炮弹、子弹等）射弹，（火箭等）自动推进的武器；,adj. 向前开进的；推进的；抛掷的；弹射的
projector,n. 放映机，幻灯机；投影仪；设计者；放映技师
puck,n. 恶作剧的小妖精
punching bag,n. 吊袋，攻击目标
purse,n. 钱包，钱袋；财力，财源；和包或钱袋相似的东西；女用小提包,vt. 使皱起，噘起
quill,n. （刺猬或豪猪的）刺；羽毛管；翮；纡管,vt. 给（织物或衣服）作皱褶；卷（纬线）；使（豪猪等）长满刺；（豪猪等）用刺刺
quilt,n. 被子，棉被；被状物；,v. 缝（被）；用垫料填塞后缝拢；东拼西凑地做；用摘抄等方法编辑,vt. 东拼西凑地编；加软衬料后缝制；,vi. 缝被子
racer,n. 专供比赛用的动物，比赛用的车辆；比赛者；（美洲）黑蛇
racket,n. （网球等）球拍；〈美俚〉勒索金钱，讹诈，敲诈，骗局；（四周有围墙的）拍打回力网球，硬壁回力球；喧骚，吵闹，嚷闹，扰嚷，喧骚嘈杂的集会，狂欢,v. 嚷闹，吵闹，纵情欢闹；用球拍打
radiator,n. 暖气片，散热器；（汽车引擎的）冷却器；辐射体；冰箱
radio,n. 无线电；收音机；无线电广播台；无线电收发报机,vt.& vi.用无线电发送讯息；作无线电广播；用X射线拍照
radio telescope,n. 射电望远镜，无线电天文望远镜
rain barrel,No Translation found
recreational vehicle,n. （野营游乐用的）游艺车
reel,n. 卷轴；卷盘；卷筒；绕在卷轴上的线（或金属丝、胶卷等）,vt. 卷；绕；,vi. 蹒跚，摇晃；来回旋转；眩晕
reflex camera,n. 反射式照相机
refrigerator,n. 冰箱；冷藏库；制冰机，冷冻机
remote control,n. 遥控，远程控制；遥控装置
restaurant,n. 饭店；餐馆；饭馆；菜馆
revolver,n. 左轮手枪；旋转者，旋转式装置；[冶]转炉
rifle,n. 步枪；来福枪；,vt.& vi.快速搜寻；匆忙翻找；偷窃；盗取
rocking chair,n. 摇椅
rotisserie,n. 电转烤肉架，烤肉店；烤叉
rubber eraser,n. 橡皮
rugby ball,橄榄球
rule,n. 规则，规定；统治，支配；章程；,vt.& vi.控制，支配；判定；裁定，裁决；价格稳定,vt. 统治；规定；管理；裁决,vi. 统治；管辖；裁定
running shoe,架模靴
safe,adj. 安全的；保险的，肯定的；无损的；提供保护的,n. 保险箱，保险柜；冷藏箱；〈俚〉避孕套
safety pin,n. 安全别针
saltshaker,n. 盐瓶（调味用）
sandal,n. 凉鞋，草带鞋；[植]檀香木；,v. 使穿上凉鞋
sarong,n. 马来群岛土人所穿的围裙，布裙
sax,n. 萨克斯管，石板斧
scabbard,n. 鞘
scale,n. 规模；比例（尺）；鱼鳞；级别,vt. 测量；攀登；刮去…的鳞片；,vi. 衡量；攀登；（鳞屑）脱落；生水垢
school bus,n. 校车
schooner,n. （有两个以上桅杆的）纵帆船
scoreboard,n. 记分板
screen,n. 屏幕；银幕；屏风；,vt. 筛（煤、矿石等）；拍摄；放映（电影）；庇护
screw,n. 螺丝钉；螺旋桨，螺旋状物；（螺丝的）转，扭；吝啬鬼,vt. 用螺丝拧紧；扭曲（某人的面孔）；〈俚〉占便宜，诈骗；,vi. 扭转，扭歪；旋紧；（和某人）性交
screwdriver,n. 螺丝刀；螺丝起子；改锥；伏特加橙汁鸡尾酒
seat belt,n. 座位安全带；座椅固定带
sewing machine,n. 缝纫机；锁线装订机
shield,n. 盾；护罩；盾形奖牌；保护人,vt. 保护；掩护；庇护；给…加防护罩
shoe shop,鞋店
shoji,n. 障子（日本房屋用的纸糊木框）
shopping basket,购物筐
shopping cart,购物车
shovel,n. 铲子，铁锹；铲车；一铲；铲状物,vt. 铲，铲出；用铲子挖；把…胡乱投入；铲除，挖清,vi. 铲
shower cap,n. 淋浴时用的塑胶浴帽
shower curtain,浴帘
ski,n. 滑雪；滑雪板；滑水橇；滑行装置,v. 滑雪，滑冰
ski mask,No Translation found
sleeping bag,n. （野外用的）睡袋
slide rule,n. 计算尺
sliding door,n. 拉门，滑门
slot,n. 位置；狭槽，水沟；[人名]斯洛特；硬币投币口,vt. 跟踪，跟着足迹追赶；开槽于
snorkel,n. （潜水者使用的）通气管，水下呼吸管；,vi. 用通气管潜泳
snowmobile,n. 摩托雪橇，雪地机动车；[亦称作skimobile,snowcat]摩托雪橇；雪地机动车；,vi. [亦称作skimobile,snowcat]摩托雪橇；雪地机动车
snowplow,n. 雪犁，扫雪机；扫雪车
soap dispenser,给皂水器，肥皂分发器
soccer ball,[医]英式足球
sock,n. 短袜；（尤指用拳头）猛击，重击；,vt. 重击；给…穿袜
solar dish,No Translation found
sombrero,n. （墨西哥的）宽边帽
soup bowl,汤碗
space bar,n. 空格键
space heater,小型供暖器
space shuttle,n. 航天飞机
spatula,n. （搅拌或涂敷用的）铲，漆工抹刀；压舌板
speedboat,n. 高速游艇
spider web,n. 蜘蛛网
spindle,n. 纺锤，纱锭；轴；细长的人或物；[生]纺锤体,adj. 像锭子的，绽子似的；细长的；,vt. 装锭子于；长成细长茎；用纺锤形锉打眼；,vi. 长得细长
sports car,跑车
spotlight,n. 聚光灯；公众注意或突出显著；射光圈；探照灯,vt. 聚光照明；使公众注意，使突出醒目
stage,n. 阶段；舞台；戏剧；驿站,vt.& vi.上演，演出；筹办，举行；适于上演；坐公共马车旅行,vt. 举行；展现；上演；筹划,vi. 适于上演，适合在舞台上演出；乘公交车（或驿车）旅行；[军事]中间集结，扎营
steam locomotive,蒸汽机车
steel arch bridge,No Translation found
steel drum,钢桶，铁桶；钢鼓
stethoscope,n. 听诊器
stole,n. 女用披肩；,v. 偷(steal的过去式)；悄悄地做，悄悄地走
stone wall,石墙
stopwatch,n. （赛跑等记时用的）秒表，跑表
stove,n. 炉，火炉；窑；干燥室，烘房；,v. 用火炉烤
strainer,n. 滤器，滤盆，滤网
streetcar,n. 有轨电车
stretcher,n. 担架；延伸器；顺边砖；框架结构的横档
studio couch,n. 可以当床用的长沙发
stupa,n. 佛塔
submarine,n. 潜艇；海底生物；,adj. 水下的，海底的；,vt. 用潜艇攻击；,vi. 驾驶潜艇；划入底下
suit,n. 一套外衣；西装，套装；诉讼；恳求,vt. 适合于（某人）；尤指服装、颜色等相配；合身；适宜,vi. 合适，相称
sundial,n. 日晷，日规
sunglass,n. 聚集日光引火的凸透镜，太阳眼镜
sunglasses,n. 太阳镜；黑眼镜；墨镜
sunscreen,n. （防晒油中的）遮光剂；防晒霜
suspension bridge,n. 吊桥
swab,n. （医用的）拭子，药签；（用拭子取下的）化验标准；,vt. 用拭子拭抹或擦净（某物）；（用拖把、抹布等）擦洗（某物）
sweatshirt,n. 运动衫
swimming trunks,n. 泳裤
swing,vt.& vi.（使）摇摆；（使）摇荡；,n. 摇摆，摆动；摆程，振幅；秋千；音律,vt. 使旋转；使做曲线运动；挥舞；悬吊,vi. 悬摆；迅速打击；侧转，转弯；轻快摇摆地走
switch,n. 开关；转换，转换器；软鞭子；[信]接线台,vt.& vi.转变，改变；转换；关闭电流；鞭打,vt. 转换；挥动（棍棒、鞭子等）；迅速转动；鞭打,vi. 交换；调换
syringe,n. 注射器，注射筒；灌肠器；注油筒；洗涤器,vt. 注射；（用注水器）灌溉，浇，洗涤
table lamp,n. 桌灯
tank,n. 油[水]箱；坦克；贮水池；酒量大的人,vt. 把…贮放在柜内；打败
tape player,n. 磁带放音装置
teapot,n. 茶壶
teddy,n. 妇女连衫衬裤；泰迪玩具熊；特迪
television,n. 电视，电视机；电视节目；电视业
tennis ball,n. 网球
thatch,n. （稻草、芦苇等盖的）茅草屋顶；乱蓬蓬的头发，又脏又乱的头发；,vt. 用茅草盖（房子等）的屋顶，用茅草覆盖（屋顶）
theater curtain,No Translation found
thimble,n. （缝纫用的）顶针；针箍；套筒；套管
thresher,n. 打谷者，打谷机，长尾鲨
throne,n. 宝座；御座；王位；王权,vi. 登上王座；,vt. 使即王位，使登基
tile roof,瓦屋顶
toaster,n. 烤面包片机
tobacco shop,No Translation found
toilet seat,n. 马桶座圈
torch,n. 火把，火炬；手电筒；,vt.& vi.放火烧，纵火烧（建筑物或汽车）
totem pole,n. 图腾柱
tow truck,n. 拖车
toyshop,n. 玩具店
tractor,n. 拖拉机；牵引器
trailer truck,n. 拖车
tray,n. 盘子；托盘；浅盘；满盘
trench coat,n. 军用防水短上衣
tricycle,n. 三轮车
trimaran,n. 三个船体并列的游艇
tripod,n. [摄]三脚架；三脚凳；三脚桌；三足鼎
triumphal arch,n. 凯旋门
trolleybus,无轨电车
trombone,n. 长号，伸缩喇叭
tub,n. 澡盆；桶；矿车；,vt. 把…装入桶；为…洗盆浴；,vi. 洗盆浴
turnstile,n. （入口处等的）旋转式栅门，旋杆
typewriter keyboard,控制台打字机键盘
umbrella,n. 雨伞；〈比喻〉保护物；[军]空中掩护幕；总括
unicycle,n. 单轮脚踏车
upright,adj. 直立的；垂直的；正直的；诚实的,adv. 垂直[竖立]地；,n. （支撑用的）直柱，立放构件
vacuum,n. 真空；空白；空虚；清洁,v. 用真空吸尘器清扫
vase,n. 装饰瓶，花瓶
vault,n. 拱顶，穹窿；地下室；撑物跳；墓穴,vt. 进行撑竿跳；做成圆拱形；成穹状；（以手撑物或撑竿）跳过,vi. 跳跃；成穹状弯曲
velvet,n. 丝绒；天鹅绒；立绒；赢得的钱,adj. 天鹅绒的；柔软的；（脚声等）轻软的
vending machine,n. 自动贩卖机
vestment,n. 礼仪服装；（尤指牧师的）法衣；圣衣；祭服
viaduct,n. 高架桥（通常有多孔）
violin,n. 小提琴；小提琴手
volleyball,n. 排球（运动）
waffle iron,对开式铁心
wall clock,挂钟
wallet,n. 钱包，皮夹子
wardrobe,n. 衣柜，衣橱；藏衣室；（个人，戏团的）全部服装；行头
warplane,n. 军用机
washbasin,n. 盥洗池，洗脸池，洗脸盆
washer,n. 洗涤者；洗涤器；洗衣机
water bottle,n. 水瓶，水袋，水壶
water jug,n. 水壶
water tower,n. 水塔
whiskey jug,No Translation found
whistle,vi. 吹口哨，吹哨子，鸣汽笛；呼啸；（动物）发出刺耳的叫声；吹口哨召唤,vt. 由吹口哨而发出；吹口哨召唤；用哨声使…行动；,n. 口哨，哨子；汽笛；哨声，笛声；啭鸣声：尖厉高音
wig,n. 假发，法官帽；〈美俚〉知识分子；,vt. 斥责，痛骂；给…装假发
window screen,n. 纱窗，窗格子
window shade,n. 遮光帘，百叶窗
Windsor tie,n. 温莎领带（丝质领带）
wine bottle,No Translation found
wing,n. 翅膀，翼；飞翔；派系，派别；,vi. 飞行；,vt. 为…装上翼；使或使能飞行；飞过
wok,n. 锅，炒菜锅
wooden spoon,n. 英国剑桥大学赠给数学学位考末名及格者的木匙
wool,n. 羊毛；羊毛制品；（幼虫的）毛；羊毛覆盖物
worm fence,n. 曲折的篱笆，弯弯曲曲的栅栏；之形栅栏
wreck,vt. 破坏，毁坏；拆除；使遇难；,n. 毁灭，失事；遇难船的残骸；（身体或精神上）受到严重损伤的人；状况非常糟糕的车辆（或建筑物等）,vi. 使（船舶）失事，使遇难，使下沉
yawl,n. 快艇；小帆船
yurt,n. （蒙古游牧民族居住的，用毛毡或兽皮搭起的）圆顶帐篷；毡房
web site,网站
comic book,n. 连环漫画册
crossword puzzle,纵横拼字谜；填字游戏
street sign,No Translation found
traffic light,n. 红绿灯
book jacket,n. 皮书套；书皮；护封
menu,n. 菜单；菜，菜肴
plate,n. 盘子，盆子；金属板；均匀厚度的片状硬物体；[摄]底片，感光版,vt. 镀，在…上覆盖金属板；覆盖；电镀；[印]给…制铅板
guacamole,n. 鳄梨酱；鳄梨色拉
consomme,n. 肉煮的清汤；浓味肉汤
hot pot,n. 火锅
trifle,n. 琐事；少量；蛋糕；,vi. 轻视，藐视；嘲弄；随意摆弄，玩弄；,vt. 浪费（时间或金钱）；虚度
ice cream,n. 冰淇淋
ice lolly,n. 冰棍，冰棒
French loaf,法国式面包
bagel,n. 硬面包圈
pretzel,n. 椒盐卷饼，法国号
cheeseburger,n. 夹干酪和碎牛肉的三明治，放有干酪的肉饼
hotdog,No Translation found
mashed potato,洋芋泥
head cabbage,结球甘蓝
broccoli,n. 花椰菜；西兰花
cauliflower,n. [植]花椰菜；菜花
zucchini,n. 夏季产南瓜之一种；(US)N[C/U]绿皮密生西葫芦[英=courgette]
spaghetti squash,西葫芦
acorn squash,No Translation found
butternut squash,n. （菜名）白胡桃泥（是美国一道汤菜）
cucumber,n. 黄瓜，胡瓜
artichoke,n. 朝鲜蓟；洋蓟；洋百合；法国百合
bell pepper,铃状椒，甜椒，柿子椒
cardoon,n. 刺棘蓟；菜蓟
mushroom,n. 蘑菇；蘑菇状物，蘑菇形物体；（女用）蘑菇形草帽；暴发户,adj. 蘑菇的；蘑菇形的；迅速生长的；雨后蘑菇似的,vi. 迅速增长；采蘑菇；迅速增加；（火）猛然的扩大
Granny Smith,史密斯奶奶苹果
strawberry,n. 草莓；草莓色
orange,n. 桔子，橙子；[植]桔树；橙色；桔色,adj. 橙色的；橘色的；桔红色的
lemon,n. 柠檬；柠檬树；柠檬黄；,adj. 柠檬色的
fig,n. 无花果；无花果树
pineapple,n. 菠萝；凤梨；〈俚〉手榴弹
banana,n. 香蕉；芭蕉属植物；喜剧演员
jackfruit,n. 木菠萝
custard apple,南美洲番荔枝
pomegranate,n. 石榴；石榴树
hay,n. 干草；少量的钱；一种乡村舞蹈；成果，酬报,vt. 把（草）制成干草；用干草喂；,vi. 割草晒干
carbonara,n. 烤面条加干酪沙司
chocolate sauce,No Translation found
dough,n. 生面团；〈美俚〉钱
meat loaf,n. 肉糜糕，肉馅糕
pizza,n. 意大利薄饼，比萨饼
potpie,n. 肉馅饼，肉炖面团
burrito,n. 墨西哥玉米煎饼
red wine,红葡萄酒
espresso,n. 浓咖啡，蒸馏咖啡（让蒸汽或开水通过磨碎的咖啡豆制成的浓咖啡）
cup,n. 杯子；一杯（的量）；（胸罩的）罩杯；优胜杯,vt. 使（手）窝成杯状；使（双手）成圆状托起；为…拔火罐
eggnog,n. （—杯）蛋奶酒；蛋酒
alp,n. 高山
bubble,n. 泡，水泡；冒泡，起泡；泡影，妄想；（欲表达的）一点感情,vt.& vi.起泡，使冒气泡；,vi. 使冒泡，发出冒泡的声音；洋溢着（某种感情）；滔滔不绝地讲；兴奋，欢闹
cliff,n. 悬崖，峭壁
coral reef,n. 珊瑚礁
geyser,n. 间歇喷泉；（厨房、洗澡间的）煤气热水器[炉]
lakeside,n. 湖边，湖岸，湖畔；湖滨
promontory,n. 岬，隆起，海角
sandbar,n. 沙洲
seashore,n. 海岸，海滨
valley,n. 山谷，溪谷，峡谷，谷地，深谷；流域；[建筑]屋顶排水沟，屋面斜沟
volcano,n. 火山
ballplayer,n. 棒球手
groom,vt. 使整洁；使（动物）清洁；准备；,n. 新郎；马夫；王室侍从官；〈古〉男仆,vi. 打扮
scuba diver,带水肺的潜水员
rapeseed,n. 油菜籽；油菜籽，；菜子
daisy,n. 雏菊；菊科植物；名流，上等品；,adj. 雏菊一样的；上等的
yellow lady's slipper,No Translation found
corn,n. 谷物；玉米；鸡眼
acorn,n. 橡子，栎实
hip,n. 臀部；[建筑学]屋脊；臀围（尺寸）；臀部…的,adj. （衣服、音乐等方面）时髦的，赶时髦的；,vt. 使…的髋关节脱臼，损伤…的髋部；[建筑学]给（房屋）建屋脊；使知晓，使了解，告诉；使消息灵通
buckeye,n. 七叶树之类，美国俄亥俄(Ohio)州人
coral fungus,[医]朱红真菌属
agaric,n. 蘑菇木耳，伞菌
gyromitra,[医]鹿花菌属
stinkhorn,[医]鬼笔
earthstar,n. 量显地星
hen-of-the-woods,No Translation found
bolete,n. 牛肝菌
ear,n. 耳朵；听觉，听力；耳状物；穗,vi. 抽穗；（美俚）听见
toilet tissue,[医]卫生纸；便纸
